Pos,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
C,30,46,0,13.8,2.8,6.1,0.455,0.1,0.3,0.188,2.7,5.7,0.47100000000000003,0.461,1.0,1.2,0.825,0.6,1.5,2.1,0.4,0.1,0.2,0.6,1.3,6.6
PG,31,2,1,11.5,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5,0.0,0.0,2.5,0.0
PF,24,36,0,13.1,1.5,4.1,0.369,0.1,1.0,0.135,1.4,3.1,0.446,0.386,1.0,1.5,0.685,0.6,2.8,3.4,0.6,0.4,0.3,0.5,1.1,4.2
SG,23,36,5,24.0,3.3,6.8,0.486,0.8,2.0,0.38,2.5,4.8,0.529,0.541,1.4,1.8,0.797,0.8,2.3,3.0,2.2,0.7,0.4,1.3,1.8,8.7
SF,24,64,33,20.3,2.0,5.3,0.37200000000000005,0.9,2.4,0.361,1.1,2.9,0.38,0.45399999999999996,0.5,0.5,0.909,0.3,2.8,3.1,1.0,0.3,0.3,0.8,1.6,5.3
PG,30,51,0,9.2,1.5,3.2,0.44799999999999995,0.3,0.8,0.35700000000000004,1.2,2.4,0.48,0.494,0.8,0.9,0.894,0.1,0.7,0.8,1.1,0.2,0.0,0.5,0.7,4.0
PG,27,79,79,34.2,10.2,20.2,0.504,5.1,11.2,0.45399999999999996,5.1,9.0,0.5660000000000001,0.63,4.6,5.1,0.9079999999999999,0.9,4.6,5.4,6.7,2.1,0.2,3.3,2.0,30.1
SF,30,82,80,31.0,2.9,7.1,0.41100000000000003,0.8,2.5,0.33,2.1,4.6,0.455,0.469,1.3,1.7,0.746,2.0,4.2,6.2,2.2,1.3,0.2,1.4,2.5,8.0
SF,22,45,4,11.3,1.4,3.4,0.43,0.3,0.8,0.37799999999999995,1.1,2.5,0.447,0.47700000000000004,0.6,0.9,0.6920000000000001,0.3,1.2,1.5,0.6,0.4,0.2,0.4,0.5,3.8
SG,26,51,15,14.1,1.3,3.5,0.376,0.5,1.7,0.267,0.9,1.8,0.478,0.441,0.4,0.6,0.759,0.3,1.4,1.7,0.8,0.4,0.3,0.8,1.1,3.5
